name,smiles,formula,molecular_weight,log_p,fragneg,cas,dtxsid
"3,3',5,5'-Tetrabromobisphenol A",CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br,C15H12Br4O2,543.9,5.682,"248.85561,96.0078373744796;288.88691,52.3022287533676;272.85561,43.2157727161401;418.82872,33.5782512858192;522.7185,100",79-94-7,DTXSID1026081
Hexaconazole,CCCCC(CN1C=NC=N1)(C2=C(C=C(C=C2)Cl)Cl)O,C14H17Cl2N3O,314.2,2.353,"68.02542,100;166.09859,64.2047310222554;34.9694,10.217888303084;41.01452,6.42933793682639;82.04107,5.99076190920543;97.06589,3.92385573648113;112.05164,2.1462231138898;256.00499,2.18821443568329;256.03014,5.52419166705547;258.04579,2.86940698922223;260.06144,3.21000326599169;262.05194,4.31577473988709;285.05669,3.22400037325619;294.05703,2.71077310689124;66.00977,1.95492931460831;253.98934,1.61433303783885;310.05194,2.01091774366631",79983-71-4,DTXSID4034653
Bisphenol A,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,C15H16O2,228.29,3.092,"93.03459,100;173.09719,48.8950144955088;183.08154,47.3218953471793;197.09719,18.2976094292096;199.07645,9.19157834703674;199.11284,33.620075091488;65.03967,6.59189202034124;103.05532,6.658428781902;117.03459,30.6116629437764;133.06589,10.275177035312;135.08154,11.3730336010646;157.06589,16.3157644598641;181.06589,12.6277268190675",80-05-7,DTXSID7020182
Dapsone,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,C12H12N2O2S,248.3,-0.49,"220.04377,0.13427968540188;92.05057,100;156.01247,23.3646652599271;194.02812,25.3021292921542",80-08-0,DTXSID4020371
Cumene hydroperoxide,CC(C)(C1=CC=CC=C1)OO,C9H12O2,152.19,1.279,"117.07097,100;77.03967,56.52831456898;103.05532,61.4728617039153;119.08662,13.9262308855655;39.02402,16.5266341791296",80-15-9,DTXSID3024869
Dicumyl peroxide,CC(C)(C1=CC=CC=C1)OOC(C)(C)C2=CC=CC=C2,C18H22O2,270.4,3.602,"151.07645,17.75;77.03967,48.01;117.07097,63.39;103.05532,100;119.08662,25.83;267.13905,15.8",80-43-3,DTXSID1025017
4-(2-Methylbutan-2-yl)phenol,CCC(C)(C)C1=CC=C(C=C1)O,C11H16O,164.24,3.287,"161.09719,17.73;41.00329,8.8;51.02402,8.27;65.03967,10.47;77.03967,10.04;93.03459,100;95.08662,6.89;117.03459,6.69;119.05024,40.09;119.08662,10.33;133.06589,13.22;135.08154,7.12;145.10227,5.98;147.08154,9.63",80-46-6,DTXSID8021771
Etofenprox,CCOC1=CC=C(C=C1)C(C)(C)COCC2=CC(=CC=C2)OC3=CC=CC=C3,C25H28O3,376.5,3.389,"347.16527,100;43.01894,7.70215148364393;93.03459,62.3690314324562;121.0295,6.68639526513637;135.08154,7.46220906982324;163.07645,85.139566504039;169.06589,17.3238422778533;183.08154,24.1542029912821;199.07645,3.59913620731025;331.13397,34.7596576821563;331.17035,10.7974086219307;349.18092,4.87882908102055;117.03459,7.43021674798048;149.09719,32.6641606014556;151.11284,14.8524354155003;271.13397,17.1558825881788",80844-07-1,DTXSID9032610
Pravastatin,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(CC(CC(=O)O)O)O)O,C23H36O7,424.5,2.275,"59.01385,88.2423861194108;95.01385,12.9370446086911;97.0295,6.04916915657598;99.04515,27.530534151072;279.16018,54.2905068931174;321.17075,100;321.20713,2.18063636840174;335.22278,12.7011584630707;339.18131,26.9801331446244;361.23843,46.5429574880746;379.249,14.9446978036379;405.22826,26.8123918855166;57.07097,18.1842008701578;71.01385,12.2451119148713;73.0295,11.0656811867694;85.0295,12.276563400954;101.0608,67.1017455574776;233.1547,10.1902814908004;235.17035,7.95198406458038;249.14962,32.2115636630497;251.16527,13.4297845573203;263.16527,19.5575824291031;277.18092,15.8305813283011;279.19657,8.41851444147403;293.17583,45.1276406143524;295.19148,18.8604078209362;305.17583,22.2886198039524;345.20713,11.7838234523248;363.2177,6.74634376474288;41.00329,19.2850028830529;43.01894,5.44634900665723;51.02402,6.23787807307229;57.03459,11.0237458719925;67.01894,5.20522094668973;175.11284,7.19714839859517;177.12849,6.94553650993343;191.10775,9.1890758505006;205.1234,4.86449651412696;265.14453,4.49756250982859;303.16018,4.76490014153169;323.1864,4.83828694239136;337.16566,6.5104576191225;0.036047,0.00444005870944069",81093-37-0,DTXSID6047525
Imazapyr,CC(C)C1(C(=O)NC(=N1)C2=C(C=CC=N2)C(=O)O)C,C13H15N3O3,261.28,0.218,"216.11424,75.5492191044002;41.99854,53.2045881666775;78.03492,74.7910051195645;103.03017,24.6063119694122;137.07204,14.0950035642538;147.02,5.44358758343594;173.10842,9.57812196228372;200.08294,100;214.09859,23.5823990668136;258.08841,55.4533082755492;44.01419,7.66638584667228;52.01927,4.36783098956646;67.05532,6.19532110686281;69.00944,4.3354286825222;84.08187,4.36783098956646;120.02034,4.45855744929039;120.05672,4.81498282677727;121.04074,7.60806169399261;146.03599,57.5788996176528;148.05164,10.9584602423693;164.08294,6.77208217225066;171.09277,4.52336206337891;172.05164,8.46996306136997;174.06729,5.3269392780766;188.11932,5.67688419415462",81334-34-1,DTXSID8034665
Imazaquin,CC(C)C1(C(=O)NC(=N1)C2=NC3=CC=CC=C3C=C2C(=O)O)C,C17H17N3O3,311.33,0.727,"266.12989,44.6869765494137;250.09859,100;264.11424,24.5079564489112;267.1139,6.71587102177554;308.10406,20.0795644891122;41.99854,13.0967336683417;112.07679,7.53245393634841;121.04074,8.08731155778894;128.05057,39.3111390284757;153.04582,7.46963986599665;196.05164,52.3450586264657;198.06729,9.11850921273032;221.10842,5.55381072026801;222.06729,11.3850502512563;224.08294,5.9463986599665;238.13497,7.44870184254606;248.08294,5.22403685092127",81335-37-7,DTXSID3024152
Imazethapyr,CCC1=CC(=C(N=C1)C2=NC(C(=O)N2)(C)C(C)C)C(=O)O,C15H19N3O3,289.33,0.863,"244.14554,23.5338662179218;41.99854,27.4716028607488;104.05057,88.3634833824148;121.04074,3.50862431636517;123.05639,17.8544383676904;131.06147,22.1623895666807;137.07204,13.3613798906184;139.08769,8.53176272612537;175.0513,13.1594446781658;201.13972,9.92848127892301;216.11424,7.18552797644089;216.15062,9.24694993689525;228.11424,100;242.12989,4.50147244425747;245.12955,4.68657972233908;260.14045,4.93899873790492;272.10406,3.40765671013883;44.9982,6.83214135464872;69.00944,9.2637778712663;95.02509,11.7795540597392;97.04074,6.03281447202356;102.03492,20.2692469499369;106.06622,67.0845603702146;116.05057,6.45351283129996;122.02475,4.13125788809424;123.04515,5.4438367690366;123.09277,4.812789230122;125.07204,4.93058477071939;146.02475,10.9381573411864;159.05639,4.0302902818679;170.03599,8.06899453092133;172.05164,7.58939840134623;174.06729,19.3605384938999;207.07752,4.24905342869163;286.11971,10.0546907867059",81335-77-5,DTXSID3024287
Fluroxypyr-meptyl,CCCCCCC(C)OC(=O)COC1=NC(=C(C(=C1Cl)N)Cl)F,C15H21Cl2FN2O3,367.2,4.566,"129.12849,19.7944059287593;234.94828,100;243.01088,17.678699497968;252.95885,98.4281616065025;34.9694,72.3404255319149;73.0295,3.86684197944059;127.11284,7.41094907960794;178.95846,70.1828830982548;194.95337,40.1386564666507;208.96902,65.0848673201052;259.0058,4.82309347358355;18.99895,3.55008367200574;41.00329,12.3535739899594;57.03459,7.8113793927803;59.01385,8.88716232369113;59.05024,5.4207506574229;72.99312,23.6134353334927;85.0295,4.39278030121922;88.97997,4.11785799665312;99.04515,5.08008606263447;101.09719,5.43868037293808;111.04515,4.14774085584509;123.04515,3.78914654554148;125.0608,4.30313172364332;127.07645,12.5866602916567;132.9698,14.2182644035381;200.98726,4.39875687305762;203.00291,6.03036098493904;236.96393,3.60387281855128",81406-37-3,DTXSID5034303
Clomazone,CC1(CON(C1=O)CC2=CC=CC=C2Cl)C,C12H14ClNO2,239.7,1.122,"135.99595,0;138.0116,0;210.06912,0;34.9694,0;208.05347,0;0.011763,0;41.99854,0;69.03459,0;85.0295,0;176.0717,0",81777-89-1,DTXSID1032355
Warfarin,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,C19H16O4,308.3,2.262,"161.02442,100;41.00329,81.1039886039886;57.03459,48.5897435897436;77.03967,28.8247863247863;163.04007,3.81054131054131;249.05572,6.88746438746439;265.08702,7.72792022792023;277.05063,3.33333333333333;291.06628,3.04131054131054;93.03459,10.4985754985755;101.03967,8.79629629629629;103.05532,13.8675213675214;115.01894,18.3190883190883;117.03459,50.548433048433;129.03459,8.68945868945869;143.05024,9.58689458689459;145.0295,17.5712250712251;159.08154,13.5826210826211;185.02442,8.63247863247863",81-81-2,DTXSID5023742
Triasulfuron,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2OCCCl,C14H16ClN5O5S,401.8,0.229,"139.06253,100;198.02304,9.80601465012699;40.01927,38.1676298450326;41.01452,8.32259726874517;41.99854,14.8157691316671;65.01452,7.2293591489675;67.03017,15.5225089262708;77.96552,3.82449295100674;97.04074,3.57050833732101;98.03599,3.86866418816947;109.05197,10.8845290241838;111.06762,2.02083410019509;197.98665,8.7495858946516;233.99972,7.75941399492031;79.98117,2.63186954761291;125.04688,4.0968822468436;151.02615,2.06868627378805;154.98084,3.78400265027423;156.99649,2.75334044981043;172.00739,7.72996650347848;200.0023,3.68829830308831;215.0132,2.00979129090441;240.00845,11.6059925645084;281.035,11.0059999263813;283.99021,3.53369897301874;302.00078,3.48216586299555;338.99603,2.80855449626385;343.02733,3.27603342290279",82097-50-5,NA
"1,6-Diisocyanatohexane",C(CCCN=C=O)CCN=C=O,C8H12N2O2,168.19,4.33,"139.08769,63.78;41.99854,100;111.09277,2.12;65.99854,1.3",822-06-0,NA
Butyryl trihexyl citrate,CCCCCCOC(=O)CC(CC(=O)OCCCCCC)(C(=O)OCCCCCC)OC(=O)CCC,C28H50O8,514.7,7.742,"69.03459,39.4166666666667;87.04515,100;101.09719,15.2566666666667;313.20205,41.4833333333333;325.20205,40.2566666666667;341.19696,61.87;411.23883,9.6;425.29086,11.2333333333333;427.30651,14.0166666666667;443.30143,27.7333333333333;59.01385,22.7566666666667;85.0295,5.24;285.13436,14.9766666666667;287.15001,6.36666666666667;297.20713,8.93666666666667;299.15001,4.30333333333333;299.1864,4.06333333333333;301.16566,2.68;327.14493,3.80333333333333;327.2177,3.3;343.13984,3.34;343.21261,24.4966666666667;345.15549,3.46;357.19188,11.0566666666667;359.20753,7.10666666666667;371.24391,5.10333333333333;385.25956,13.2466666666667;387.27521,9.07333333333333;413.25448,5.37;427.23374,4.75;429.24939,21.56;435.29634,3.83;41.00329,33.1333333333333;63.02402,6.71333333333333;71.05024,8.69666666666667;93.03459,13.7133333333333;99.08154,5.99333333333333;125.0608,5.49;127.07645,7.03;129.0921,15.18;143.10775,9.53666666666667;241.14453,9.03666666666667;243.16018,6.06;255.16018,12.52;257.17583,17.2033333333333;283.1551,7.13666666666667;299.22278,5.46;315.2177,20.2666666666667;369.22826,17.6733333333333;391.30651,8.23666666666667;483.29634,7.49;495.33273,6.30666666666667",82469-79-2,DTXSID0047535
Isoxaben,CCC(C)(CC)C1=NOC(=C1)NC(=O)C2=C(C=CC=C2OC)OC,C18H24N2O4,332.4,3.465,"299.14012,38.3713080168776;41.99854,100;68.01419,26.210970464135;83.08662,4.50632911392405;107.05024,23.1223628691983;122.06114,28.8185654008439;137.0608,45.535864978903;143.10775,4.60759493670886;149.02442,34.8776371308017;165.05572,7.40084388185654;167.11899,5.45991561181435;180.06662,12.8607594936709;192.06662,27.0210970464135;193.09825,5.37552742616034;222.07718,6.20253164556962;223.07243,4.32911392405063;247.07243,16.5654008438819;253.11938,6.15189873417722;271.10882,4.87763713080169;273.12447,4.81856540084388;275.14012,6.9873417721519;287.14012,19.2742616033755;298.14487,4.62447257383966;300.16052,4.88607594936709;303.13503,6.72573839662447;313.15577,16.5907172995781;315.13503,31.957805907173;329.15068,60.3713080168776;44.01419,12.0084388185654;55.01894,31.2742616033755;57.03459,28.9873417721519;65.00329,12.3713080168776;67.01894,8.34599156118144;70.02984,11.2827004219409;79.01894,9.67932489451477;81.03459,9.57805907172996;110.09752,8.81012658227848;111.02,19.3755274261603;113.03565,8.13502109704641;123.04515,84.3881856540084;124.07679,8.70886075949367;165.06695,8.36286919831224;166.05097,20.5232067510549;168.06662,10.4388185654008;233.05678,11.5189873417722;285.12447,28.506329113924;287.10373,17.0886075949367;305.15068,8.32067510548523",82558-50-7,DTXSID8024159
Bifenthrin,CC1=C(C=CC=C1C2=CC=CC=C2)COC(=O)C3C(C3(C)C)C=C(C(F)(F)F)Cl,C23H22ClF3O2,422.9,6.425,"197.03504,53.9861844778545;241.02487,49.288906948395;128.97244,6.98090207232832;159.04271,4.87606663957741;161.05836,11.0930516050386;167.08662,100;177.02881,56.2698090207233;179.04446,5.13612352702154;179.08662,24.9248273059732;181.10227,24.4290938642828;195.01939,98.707842340512;197.09719,12.8971962616822;199.05069,4.3965867533523;223.0143,12.880942706217;225.02995,4.97358797236896;239.10775,4.27468508736286;395.10312,21.3084112149533;401.11254,12.2470540430719;0.1445,0.0648078017066233;77.03967,8.86631450629825;81.07097,6.74522551808208;103.05532,10.3535148313694;115.05532,19.0735473384803;117.07097,9.60585127996749;127.032,6.55018285249898;139.05532,15.749695245835;141.07097,18.7972368955709;151.05532,19.496139780577;153.07097,38.8541243396993;171.02183,8.75253961804145;193.06589,9.90654205607477;224.99357,16.2616822429907;239.00922,20.9183258837871;303.13905,7.89110117838277;365.05617,11.7919544900447;371.10312,12.3689557090614;379.07182,7.83421373425437;381.08747,7.11905729378302;389.05617,9.75213327915482;403.1082,6.78585940674523;405.08747,15.2539618041447;419.10312,28.2893132872816",82657-04-3,DTXSID9020160
"4,7-Methanoisobenzofuran-1,3-dione, 3A,4,7,7A-tetrahydro-",C1C2C=CC1C3C2C(=O)OC3=O,C9H8O3,164.16,0.528,"119.05024,26.54;65.03967,100;89.03967,65.54;91.05532,59.65;117.03459,77.73;161.02442,53.77",826-62-0,DTXSID0047456
Pentachloronitrobenzene,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)[N+](=O)[O-],C6Cl5NO2,295.3,3.918,"0,100;",82-68-8,DTXSID2021105
Dimethoxane,CC1CC(OC(O1)C)OC(=O)C,C8H14O4,174.19,1.24,"59.01385,100;113.0608,10.4474211773282;131.07137,50.0182248952069;41.00329,24.0841990158557",828-00-2,DTXSID6020480
Bensulfuron-methyl,COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)CC2=CC=CC=C2C(=O)OC)OC,C16H18N4O7S,410.4,0.039,"79.98117,8.26068191627104;154.0622,100;196.00739,9.58567112645663;228.0336,10.3150625809236;254.01287,6.3314630988347;41.99854,9.36987483815278;126.06729,13.7116961588261;140.04655,2.64997842037117;170.02812,6.37462235649547;41.01452,34.2296072507553;56.01419,2.90030211480362;83.02509,18.1700474751834;97.04074,3.21536469572723;112.0404,3.10746655157531;124.05164,9.2921881743634",83055-99-6,NA
Acenaphthene,C1CC2=CC=CC3=C2C1=CC=C3,C12H10,154.21,3.458,"151.05532,100",83-32-9,DTXSID3021774
"1,2-Dimethyl-3-nitrobenzene",CC1=C(C(=CC=C1)[N+](=O)[O-])C,C8H9NO2,151.16,1.817,"103.05532,30.23;149.04823,10.37;63.02402,100;84.0091,52.01",83-41-0,DTXSID7025132
Ametryn,CCNC1=NC(=NC(=N1)SC)NC(C)C,C9H17N5S,227.33,0.875,"83.06147,100;41.01452,75.2603002235707;46.99609,30.2778664963271;69.04582,7.92079207920792;81.04582,39.2270839987225;85.07712,29.2941552219738;94.04107,16.6272756307889;96.05672,7.69722133503673;149.08327,11.1657617374641;151.09892,6.4771638454168;153.11457,12.1111465985308;65.01452,10.3545193229;67.03017,39.3356755030342",834-12-8,DTXSID1023869
Diniconazole,CC(C)(C)C(C(=CC1=C(C=C(C=C1)Cl)Cl)N2C=NC=N2)O,C15H17Cl2N3O,326.2,2.531,"183.97263,100;237.99443,37.2564360493275;34.9694,48.589843895533",83657-24-3,DTXSID2040363
Theobromine,CN1C=NC2=C1C(=O)NC(=O)N2C,C7H8N4O2,180.16,-0.637,"108.05672,58.3874760225234;41.99854,100;54.03492,9.53530103335189;81.04582,16.4160633624157",83-67-0,DTXSID9026132
Rotenone,CC(=C)C1CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC,C23H22O6,394.4,1.599,"391.11871,8.86;0.042997,0.036787;191.07137,25.17;193.08702,4.02;305.08193,23.73;323.0925,22.73;325.07176,30.81;327.08741,3.66;337.07176,49.9;349.10815,4.14;351.08741,6.69;353.10306,22.87;361.10815,5.73;377.10306,32.14;65.00329,20.45;121.06589,12.79;135.04515,13.25;137.02442,15.25;137.0608,9.39;161.02442,100;161.0608,13.41;173.0608,19.91;177.05572,17.22;187.04007,16.42;199.04007,29.6;201.05572,19.01;203.07137,13.78;265.05063,13.44;269.04555,18.53;285.07685,10.1;307.0612,9.94;309.07685,32.9;311.05611,30.46;319.09758,9.65;321.07685,21.83;335.05611,12.44;347.0925,16.26;363.1238,9",83-79-4,DTXSID6021248
"4,4'-Methylenebis(2-methylaniline)",CC1=C(C=CC(=C1)CC2=CC(=C(C=C2)N)C)N,C15H18N2,226.32,1.286,"106.06622,32.7548500881834;223.12407,100;104.05057,13.305114638448;118.06622,21.1075837742504;120.08187,11.6966490299824;132.08187,6.71604938271605;142.06622,8.25396825396825;198.12882,7.66137566137566;209.10842,10.0670194003527",838-88-0,DTXSID5020867
Quinclorac,C1=CC(=C(C2=NC=C(C=C21)Cl)C(=O)O)Cl,C10H5Cl2NO2,242.05,0.944,"195.97263,100;135.99595,1.095048268575",84087-01-4,DTXSID6032641
C.I. Solvent yellow 14,C1=CC=C(C=C1)N=NC2=C(C=CC3=CC=CC=C32)O,C16H12N2O,248.28,3.439,"219.09277,77.31;92.05057,98.01;115.05532,100;126.03492,62.88;143.05024,73.73;221.07204,42.31",842-07-9,DTXSID4021135
"4,4'-((4-(dimethylamino)cyclohexa-2,5-dien-1-ylidene)methylene)bis(N,N-dimethylaniline)",CN(C)C1=CC=C(C=C1)C(=C2C=CC(=N)C=C2)C3=CC=C(C=C3)N(C)C,C23H25N3,343.5,4.4,"316.18192,35.04;104.05057,27.05;207.09277,33.44;247.12407,100;261.13972,14.51;283.12407,17.9;285.13972,20.57;289.17102,24.29;299.15537,27.49;314.16627,53.61;326.16627,28.91;340.18192,20.04",84215-49-6,NA
Diethyl phthalate,CCOC(=O)C1=CC=CC=C1C(=O)OCC,C12H14O4,222.24,1.792,"149.02442,36.7534766118837;149.0608,33.2591656131479;175.04007,39.0695322376738;193.05063,19.2262958280657;105.03459,37.4816687737042;107.05024,21.8002528445006;121.0295,100;123.04515,21.2844500632111;131.01385,11.2616940581542;133.0295,9.54740834386852;44.9982,12.0303413400759;45.03459,10.5790139064475;77.03967,50.5689001264222;79.05532,4.26801517067004;125.0608,7.95448798988622",84-66-2,DTXSID7021780
Diisobutyl phthalate,CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C,C16H22O4,278.34,3.102,"177.0921,35.505;261.11323,11.15;275.12888,31.13;77.03967,23.045;105.03459,38.48;121.0295,100;123.04515,9.43;149.02442,13.145;163.07645,11.38;175.07645,15.05;203.07137,13.905;221.08193,14.08;57.03459,8.95;71.05024,5.045;73.06589,11.87;133.0295,5.715;135.04515,11.49;161.0608,10.715",84-69-5,DTXSID9022522
Dibutyl phthalate,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,C16H22O4,278.34,3.646,"175.07645,3.855;177.0921,31.175;211.13397,5.515;105.03459,13.47;121.0295,100;123.04515,42.415;149.02442,24.485;165.01933,19.61;183.13905,7.72;203.07137,5.28;205.08702,5.24;207.10267,5.015;219.06628,5.48;221.08193,9.36;43.01894,5.185;44.9982,9.435;71.01385,4.37;73.06589,16.96;77.03967,13.69;79.05532,6.26;125.0608,15.565;127.07645,13.86;135.04515,7.31;151.04007,4.395;161.09719,4.75;167.03498,7.835;247.09758,4.965",84-74-2,DTXSID2021781
Dihexyl phthalate,CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCC,C20H30O4,334.4,5.922,"203.10775,8.77;205.1234,58.33;231.10267,10.445;249.11323,34.505;77.03967,15.1;105.03459,20.01;121.0295,100;123.04515,45.89;149.02442,24.38;165.01933,33.795;167.03498,19.725;221.08193,3.495;233.11832,4.485;239.16527,2.78;247.09758,6.035;43.01894,10.485;59.05024,10.89;99.08154,11.98;101.09719,25.985;107.05024,14.62;125.0608,21.115;127.07645,25.36;129.0921,9.22;135.04515,10.9;151.04007,9.755;175.07645,19.88;177.0921,15.72;181.05063,6.91;189.12849,5.38;191.03498,7.98;219.06628,7.575;269.17583,6.46",84-75-3,DTXSID6025068
"4-Nonylphenol, branched",CCCCCCCCCC1=CC=C(O)C=C1,C15H24O,220.35,5.785,"217.15979,5.15154449501307;93.03459,100;41.00329,5.82937929698848;53.03967,19.8605596978793;57.07097,14.0602304638327;67.05532,24.3245860366031;71.08662,14.1957974242278;77.03967,12.2494432071269;91.05532,7.25283238113683;93.07097,5.48077854168684;105.03459,26.26125689939;105.07097,9.41222039314419;107.05024,39.8954197734095;109.06589,7.73700009683354;109.10227,5.06439430618766;117.03459,7.23346567250896;119.05024,67.7931635518544;119.08662,4.86104386559504;121.06589,21.9231141667474;121.10227,4.74484361382783;123.08154,4.7932603853975;127.11284,4.7932603853975;131.05024,6.76866466544011;133.06589,5.37426164423356;135.08154,13.4114457247991;163.11284,5.02566088893193;169.15979,4.83199380265324;187.14922,5.18059455795488;193.15979,4.70611019657209",84852-15-3,DTXSID5033836
"4-Nonylphenol, branched",CCCCCCCCCC1=CC=C(O)C=C1,C15H24O,220.35,5.785,"217.15979,5.15154449501307;93.03459,100;41.00329,5.82937929698848;53.03967,19.8605596978793;57.07097,14.0602304638327;67.05532,24.3245860366031;71.08662,14.1957974242278;77.03967,12.2494432071269;91.05532,7.25283238113683;93.07097,5.48077854168684;105.03459,26.26125689939;105.07097,9.41222039314419;107.05024,39.8954197734095;109.06589,7.73700009683354;109.10227,5.06439430618766;117.03459,7.23346567250896;119.05024,67.7931635518544;119.08662,4.86104386559504;121.06589,21.9231141667474;121.10227,4.74484361382783;123.08154,4.7932603853975;127.11284,4.7932603853975;131.05024,6.76866466544011;133.06589,5.37426164423356;135.08154,13.4114457247991;163.11284,5.02566088893193;169.15979,4.83199380265324;187.14922,5.18059455795488;193.15979,4.70611019657209",84852-15-3,DTXSID5029055
Phenanthrene,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,C14H10,178.23,4.366,"151.05532,20.8616913281102;127.05532,0.615572375409858;0,100",85-1-8,DTXSID6024254
"1,5-anhydro-2,3-dideoxy-4-O-methyl-3-{[(1R,3S)-3-(propan-2-yl)-3-{[3-(trifluoromethyl)-7,8-dihydro-1,6-naphthyridin-6(5H)-yl]carbonyl}cyclopentyl]ammonio}-D-erythro-pentitol 3-carboxypropanoate",CC(C)C1(CCC(C1)NC2CCOCC2OC)C(=O)N3CCC4=C(C3)C=C(C=N4)C(F)(F)F,C24H34F3N3O3,469.5,1.129,"418.23116,23.7999497361146;436.22174,100;438.23739,78.091228951998;131.06147,8.41291781854737;199.04886,6.34581553154059;201.06451,27.1110831867303;339.16897,19.8102538326213;394.21117,32.1123397838653;396.22682,12.6476501633576;408.22682,19.84795174667;410.20609,16.7001759235989;412.22174,9.73234481025383;422.24247,12.1387283236994;424.22174,20.180949987434;434.20609,82.8097511937673;0.75759,0.399516210103041;440.25304,6.45262628801206;466.2323,35.5554159336517;94.02984,4.24101533048505;96.04549,6.23900477506911;98.06114,3.73837647650163;238.18125,3.29228449359135;295.10637,8.45061573259613;297.12202,6.13847700427243;310.11727,6.54058808745916;312.13292,3.82633827594873;337.15332,23.3852726815783;352.16422,6.2452877607439;354.17987,3.57501884895702;394.17479,3.69439557677808;422.20609,11.303091228952",851916-42-2,DTXSID4047335
"3-[5'-Fluoro-2'-(2,2,3,3,3-pentafluoropropoxy)biphenyl-3-yl]-1H-1,2,4-triazole-5-carboxamide",C1=CC(=CC(=C1)C2=NNC(=N2)C(=O)N)C3=C(C=CC(=C3)F)OCC(C(F)(F)F)(F)F,C18H12F6N4O2,430.3,3.465,"386.07335,0;41.99854,0;281.08441,0;18.99895,0;41.01452,0;68.02542,0;111.03123,0;168.05672,0;173.00313,0;211.06253,0;224.06295,0;238.0786,0;316.07032,0;342.06713,0;344.05156,0;359.05729,0;385.07294,0",852317-38-5,DTXSID5047328
Flusilazole,C[Si](CN1C=NC=N1)(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F,C16H15F2N3Si,315.39,1.855,"231.04471,72.3262905685036;82.04107,49.7005009801786;95.03025,33.620126334132;135.00718,100;202.02423,74.564365062078;298.06175,14.7843607057286;122.018,16.5432367675888",85509-19-9,DTXSID3024235
PK11195,CCC(C)N(C)C(=O)C1=CC2=CC=CC=C2C(=N1)C3=CC=CC=C3Cl,C21H21ClN2O,352.9,3.36,"34.9694,0;238.0429,0;0.0028295,0;321.08001,0;323.09566,0;56.01419,0;82.02984,0;204.08187,0;267.15029,0;287.11899,0;295.06436,0;56.05057,0;58.02984,0;70.06622,0;78.03492,0;80.05057,0;84.04549,0;152.05057,0;154.06622,0;158.06114,0;180.04549,0;183.05639,0;185.07204,0;209.07204,0;211.08769,0;213.04765,0;236.02725,0;237.10334,0;263.11899,0;264.02217,0;266.03782,0;275.11899,0;279.06945,0;301.13464,0;335.09566,0;349.11131,0",85532-75-8,DTXSID7041097
Butyl benzyl phthalate,CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2,C19H20O4,312.4,3.388,"107.05024,31.7216333769689;211.07645,100;77.03967,50.344157763608;91.05532,51.0198049068874;121.0295,53.2072125332545;149.02442,18.3776022972003;165.01933,22.84109623749;219.06628,4.18056669904143;255.06628,5.87390735188548;43.01894,3.14598201089481;44.9982,10.3331784975297;105.03459,11.160846248047;123.04515,12.9090832312825;125.0608,6.45243021831848;151.04007,6.84937291499514;167.03498,16.8658418141126;185.0608,3.15020480554031;191.03498,3.53447911828048",85-68-7,DTXSID3020205
Primisulfuron-methyl,COC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC(F)F)OC(F)F,C15H12F4N4O7S,468.3,1.264,"214.01795,22.95;239.99722,56.685;41.99854,7.225;156.01247,26.26;160.03279,11.9;184.00739,14.585;209.98665,7.625;212.0023,7.27;226.02451,100;316.02091,5.685;409.02353,6.125;18.99895,1.36;41.01452,1.43;67.00009,4.45;91.99534,1.105;114.98592,0.865;119.00624,1.315;129.99682,11.245;132.01247,0.945;133.02189,1.695;155.97609,1.265;176.02771,1.655;184.00271,0.87;197.99789,3.38;211.01361,1.165;275.98961,1.385;290.00526,1.61;291.00051,1.015;305.01616,1.595;306.99542,2.645;317.01616,0.97;330.99542,2;333.01107,5.935;339.00165,0.985;383.00788,0.965;401.03729,0.995",86209-51-0,NA
"1-(2-carboxyphenyl)-7-chloro-6-[(2-chloro-4,6-difluorophenyl)amino]-4-oxo-1,4-dihydroquinoline-3-carboxylic acid",C1=CC=C(C(=C1)C(=O)O)N2C=C(C(=O)C3=CC(=C(C=C32)Cl)NC4=C(C=C(C=C4Cl)F)F)C(=O)O,C23H12Cl2F2N2O5,505.3,3.563,"415.0222,100;459.01203,13.2066666666667;34.9694,13.6766666666667;336.97525,7.00666666666667;386.9909,14.8266666666667;389.00655,12.08",862243-29-6,DTXSID0047375
